timestamp,origin,destination,distance_km,duration_traffic_min,duration_normal_min,congestion_level
43:35.0,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
43:45.1,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,20,12,High
43:55.7,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,56,40,Moderate
44:06.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
44:16.7,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,41,24,High
44:27.4,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,58,42,Moderate
44:37.7,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,21,12,High
44:48.2,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
44:58.6,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,21,12,High
45:09.1,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,41,24,High
45:19.7,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
45:30.3,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,41,24,High
45:41.0,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,56,40,Moderate
45:51.6,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,41,24,High
46:02.3,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,48,28,High
46:12.9,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,41,24,High
46:23.6,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,36,25,Moderate
46:34.6,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,58,42,Moderate
46:45.1,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
46:55.6,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,21,12,High
47:06.0,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,2,1,High
47:16.5,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,21,12,High
47:27.0,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,2,1,High
47:38.1,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,39,26,High
47:48.7,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
47:59.2,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,21,12,High
48:09.8,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,57,40,Moderate
48:20.8,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,27,19,Moderate
48:31.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,51,36,Moderate
48:42.6,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
48:53.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
49:03.6,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
49:14.1,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,36,25,Moderate
49:24.8,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,57,40,Moderate
49:35.2,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,42,24,High
49:45.7,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,27,19,Moderate
49:56.2,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,52,36,Moderate
50:06.8,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,48,28,High
50:17.2,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
50:27.5,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,2,1,High
50:37.9,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,36,25,Moderate
50:48.5,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
50:58.9,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,21,12,High
51:09.3,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,42,24,High
51:19.6,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
51:30.0,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,42,24,High
51:40.5,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,58,42,Moderate
51:50.9,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,27,19,Moderate
52:01.3,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,36,25,Moderate
52:11.7,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
52:22.1,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
52:32.5,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,27,19,Moderate
52:42.9,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,21,12,High
52:53.2,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
53:03.7,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,42,24,High
53:14.0,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
53:24.4,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,27,19,Moderate
53:34.8,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
53:45.1,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,42,24,High
53:55.6,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,48,28,High
54:06.0,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
54:16.3,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
54:26.7,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,40,26,High
54:37.2,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,36,25,Moderate
54:47.6,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,42,24,High
54:58.0,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
55:08.3,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
55:18.7,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
55:29.1,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
55:39.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,51,36,Moderate
55:50.0,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,51,36,Moderate
56:00.5,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,22,13,High
56:10.9,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,36,25,Moderate
56:21.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
56:31.6,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,59,42,Moderate
56:42.2,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,59,42,Moderate
56:52.5,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
57:02.8,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
57:13.5,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
57:23.9,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
57:34.3,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,49,28,High
57:44.8,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,42,24,High
57:55.3,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,22,13,High
58:05.7,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
58:16.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
58:26.6,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,40,26,High
58:36.9,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
58:47.5,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,59,42,Moderate
58:57.9,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,52,36,Moderate
59:08.2,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,22,13,High
59:18.6,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,28,19,Moderate
59:29.0,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
59:39.4,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,28,19,Moderate
59:49.8,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,36,25,Moderate
00:00.1,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,22,13,High
00:12.8,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,40,26,High
00:23.3,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,28,19,Moderate
00:33.8,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
00:44.3,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,57,40,Moderate
00:54.6,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,40,26,High
01:05.0,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,28,19,Moderate
01:15.4,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
01:25.8,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,52,36,Moderate
01:36.3,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
01:46.6,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,23,12,High
01:57.0,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
02:07.4,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
02:17.8,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
02:28.2,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,28,19,Moderate
02:38.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,52,36,Moderate
